PERIOD_START_TIME,BSCname,BCFname,BTSname,lac_id,ci_id,HO_ATT_TO_ADJ(c015001_1),Handoverblockingtotargetcell,HOfailurestotargetcell,HOfailuresfromtargetcell,Handoverblockingfromtargetcell,HO_ATT_FROM_ADJ(c015003_1)
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,54,54187,1,0,0,87.5,0,8
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,602,42177,0,0,0,0,0,2
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,602,40175,1,0,0,0,0,1
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,602,40176,25,0,12,13.64,0,44
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,602,34157,2,0,0,50,0,2
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,602,42176,14,0,0,8.33,0,12
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,602,40215,3,0,0,50,0,2
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,602,42175,71,0,5.63,3.12,0,32
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,602,40177,7,0,14.29,0,0,5
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,66,47549,2,0,50,100,0,11
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,66,47336,0,0,0,100,0,2
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,66,47217,0,0,0,100,0,2
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40175_S1,66,47216,5,0,0,87.23,0,47
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40176_S2,196,54196,5,0,0,0,0,0
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40176_S2,364,22780,0,0,0,100,0,2
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40176_S2,54,54188,10,0,0,0,0,0
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40176_S2,602,40789,2,0,0,33.33,0,6
04.26.2017 14:00:00,mcBSC-FesLGD-5,2G_DCFS_ODBOULAHOUANE,2G_DCFS_ODBOULAHOUANE_40176_S2,602,42175,3,0,66.67,0,0,10
